School,Address
Northwestern University,"633 Clark St, Evanston, IL 60208"
University of Michigan,"500 S State St, Ann Arbor, MI 48109"
Stanford University,"450 Serra Mall, Stanford, CA 94305"
Auburn University,"Quad Center, Auburn, AL 36849"
Florida State,"600 W College Ave, Tallahassee, FL 32306"
Wellesey College ,"106 Central St, Wellesley, MA 02481"
Tufts University,"419 Boston Ave, Medford, MA 02155"
Columbia University,"1130 Amsterdam Avenue New York, NY 10027"
Duke University,"2138 Campus Drive Durham, NC 27708"
Washington University,"1 Brookings Dr, St. Louis, MO 63130"
